"가격","책제목","작가이름","카테고리"
"34,200원","2016 전기산업기사 필기 과년도 기출문제 & 동영상","김상훈 ","수험서>전기산업기사"
"18,000원","(D-30 단기합격 솔루션) 전기산업기사 필기 핵심 이론 & 엄선된 필수 기출문제 458선","김상훈 ","수험서>전기산업기사"
"31,500원","2019 전기공사기사 실기","김상훈 ","수험서>전기공사기사"
"28,800원","(무료동영상) 2019 전기공사기사 필기","김상훈 ","수험서>전기공사기사"
"31,500원","2018 전기공사기사 실기 과년도 기출문제","김상훈 ","수험서>전기공사기사"
"34,200원","2018 전기공사기사 필기 과년도 기출문제 & 동영상","김상훈 ","수험서>전기공사기사"
"18,000원","D-30 단기합격 솔루션 전기공사기사(개정판)","김상훈 ","수험서>전기공사기사"
"31,500원","2017 전기공사기사 실기 과년도 기출문제","김상훈 ","수험서>전기공사기사"
"34,200원","2017 전기공사기사 필기 과년도 기출문제 & 동영상","김상훈 ","수험서>전기공사기사"
"31,500원","2016 전기공사기사 실기 과년도 기출문제","김상훈 ","수험서>전기공사기사"
"18,000원","전기공사기사 필기 핵심 이론 & 엄선된 필수 기출문제 469선","김상훈 ","수험서>전기공사기사"
"34,200원","2016 전기공사기사 필기 과년도 기출문제 & 동영상","김상훈 ","수험서>전기공사기사"
"31,500원","2019 전기공사산업기사 실기","김상훈 ","수험서>전기공사산업기사"
"28,800원","(무료동영상) 2019 전기공사산업기사 필기","김상훈 ","수험서>전기공사산업기사"
"31,500원","2018 전기공사산업기사 실기 과년도 기출문제","김상훈 ","수험서>전기공사산업기사"
"34,200원","2018 전기공사산업기사 필기 과년도 기출문제 & 동영상","김상훈 ","수험서>전기공사산업기사"
"31,500원","2017 전기공사산업기사 실기 과년도 기출문제","김상훈 ","수험서>전기공사산업기사"
"34,200원","2017 전기공사산업기사 필기 과년도 기출문제 & 동영상","김상훈 ","수험서>전기공사산업기사"
"31,500원","2016 전기공사산업기사 실기 과년도 기출문제","김상훈 ","수험서>전기공사산업기사"
"18,000원","전기공사산업기사 필기 핵심 이론 & 엄선된 필수 기출문제 468선","김상훈 ","수험서>전기공사산업기사"
"34,200원","2016 전기공사산업기사 필기 과년도 기출문제 & 동영상","김상훈 ","수험서>전기공사산업기사"
"18,000원","2018 전기기기 이론 + 기출문제","김상훈 ","수험서>전기기본서"
"18,000원","2018 전기설비기술기준 및 판단기준 이론 + 기출문제","김상훈 ","수험서>전기기본서"
"18,000원","2018 전기응용 및 공사재료 이론 + 기출문제","김상훈 ","수험서>전기기본서"
"18,000원","2018 전력공학 이론 + 기출문제","김상훈 ","수험서>전기기본서"
"18,000원","2018 제어공학 이론 + 기출문제","김상훈 ","수험서>전기기본서"
"18,000원","2018 회로이론 이론 + 기출문제","김상훈 ","수험서>전기기본서"
"18,000원","2018 전기자기학 이론 + 기출문제","김상훈 ","수험서>전기기본서"
"18,000원","2017 회로이론","김상훈 ","수험서>전기기본서"
"18,000원","2017 제어공학","김상훈 ","수험서>전기기본서"
"18,000원","2017 전기응용 및 공사재료","김상훈 ","수험서>전기기본서"
"18,000원","2017 전기설비기술기준 및 판단기준","김상훈 ","수험서>전기기본서"
"19,800원","2017 전기기사 필기 7개년 기출문제집","김상훈 ","수험서>전기기본서"
"19,800원","2017 전기산업기사 필기 7개년 기출문제집","김상훈 ","수험서>전기기본서"
"18,000원","2017 전기기기","김상훈 ","수험서>전기기본서"
"18,000원","2017 전기자기학","김상훈 ","수험서>전기기본서"
"18,000원","2017 전력공학","김상훈 ","수험서>전기기본서"
"18,000원","2016 전기기기 이론+기출문제 & 동영상 (Part2~3 기출문제만 3개월 무료 동영상 제공)","김상훈 ","수험서>전기기본서"
"18,000원","2016 전기설비기술기준 및 판단기준 이론+기출문제 & 동영상 (Part2~3 기출문제만 3개월 무료 동영상 제공)","김상훈 ","수험서>전기기본서"
"18,000원","2016 전기응용 및 공사재료 이론+기출문제 & 동영상 (Part2~3 기출문제만 3개월 무료 동영상 제공)","김상훈 ","수험서>전기기본서"
"18,000원","2016 전기자기학 이론+기출문제 & 동영상 (Part2~3 기출문제만 3개월 무료 동영상 제공)","김상훈 ","수험서>전기기본서"
"18,000원","2016 전력공학 이론+기출문제 & 동영상 (Part2~3 기출문제만 3개월 무료 동영상 제공)","김상훈 ","수험서>전기기본서"
"18,000원","2016 제어공학 이론+기출문제 & 동영상 (Part2~3 기출문제만 3개월 무료 동영상 제공)","김상훈 ","수험서>전기기본서"
"18,000원","2016 회로이론 이론+기출문제 & 동영상 (Part2~3 기출문제만 3개월 무료 동영상 제공)","김상훈 ","수험서>전기기본서"
"26,000원","칼만 필터는 어렵지 않아 with MATLAB Examples","김성필 ","대학교재>수학/과학/공학"
"28,000원","제대로 알고 쓰는 논문 통계분석 : SPSS & AMOS (개정증보판)","노경섭 ","대학교재>수학/과학/공학"
"24,000원","이산수학 : tool 중심으로 이해하는 새로운 시각","박두순 ","대학교재>수학/과학/공학"
"34,000원","스트랭 미분적분학","Gilbert Strang ","대학교재>수학/과학/공학"
"28,000원","한번에 통과하는 논문 : AMOS 구조방정식 활용과 SPSS 고급 분석","히든그레이스 논문통계팀 ","대학교재>수학/과학/공학"
"24,000원","공학도라면 반드시 알아야 할 최소한의 과학","John Bird ","대학교재>수학/과학/공학"
"22,000원","NCS를 기반으로 한 직무 기초수학","이광연 , 조성훈 , 최상일 ","대학교재>수학/과학/공학"
"32,000원","수치해석학 바이블","Ward Cheney , David Kincaid ","대학교재>수학/과학/공학"
"24,000원","MATLAB으로 배우는 공학 수치해석(개정판)","방성완 ","대학교재>수학/과학/공학"
"26,000원","만만한 통계 : Excel 활용","닐 샐카인드(Neil J. Salkind) ","대학교재>수학/과학/공학"
"20,000원","문과생도 이해하는 확률과 통계","야마모토 토시로 ","대학교재>수학/과학/공학"
"24,000원","수식이 보이는 공학수학 : Engineering Mathematics (개정판)","장윤석 ","대학교재>수학/과학/공학"
"28,000원","MATLAB으로 배우는 공학수학 : Engineering Mathematics (개정판)","소상균 ","대학교재>수학/과학/공학"
"29,000원","4차 산업혁명 시대의 기업 혁신을 위한 비즈니스 프로세스","정승렬 , 이정규 ","대학교재>수학/과학/공학"
"30,000원","생각하며 배우는 대학물리학","이기영 ","대학교재>수학/과학/공학"
"23,000원","IT CookBook, 확률과 랜덤 과정","정호영 ","대학교재>수학/과학/공학"
"28,000원","미분적분학 에센스","제임스 스튜어트 ","대학교재>수학/과학/공학"
"34,000원","미분적분학 바이블","제임스 스튜어트 ","대학교재>수학/과학/공학"
"22,000원","공학도라면 반드시 알아야 할 최소한의 수학","John Bird ","대학교재>수학/과학/공학"
"29,000원","개념이 잡히는 디지털 전자회로","강영국 ","대학교재>수학/과학/공학"
"20,000원","문과생도 이해하는 전기전자수학","야마시타 아키라 ","대학교재>수학/과학/공학"
"20,000원","확률과 통계 입문 : Basic Probability & Statistics","이재원 ","대학교재>수학/과학/공학"
"22,000원","기초 미분적분학(개정판) : Pre Calculus","함남우 ","대학교재>수학/과학/공학"
"20,000원","기초 공업수학","마인숙 ","대학교재>수학/과학/공학"
"25,000원","IT CookBook, 컴퓨팅 사고력을 키우는 이산수학(개정판)","박주미 ","대학교재>수학/과학/공학"
"25,000원","IT CookBook, 기초 전기전자 에센스","모현선 , 장성용 , 홍익표 ","대학교재>수학/과학/공학"
"25,000원","제대로 알고 쓰는 R 통계분석","이윤환 ","대학교재>수학/과학/공학"
"25,000원","생생한 사례로 배우는 확률과 통계","이재원 ","대학교재>수학/과학/공학"
"26,000원","공학과 경영","김상균 ","대학교재>수학/과학/공학"
"24,000원","제대로 시작하는 기초 통계학 : Excel 활용","노경섭 ","대학교재>수학/과학/공학"
"35,000원","미적분학","Carol Ash , Robert B. Ash ","대학교재>수학/과학/공학"
"25,000원","최신 공학수학 with Sage Ⅰ","이상구 , 김영록 , 박준현 , 김응기 , 이재화 ","대학교재>수학/과학/공학"
"23,000원","최신 공학수학 with Sage Ⅱ","이상구 , 김영록 , 박준현 , 김응기 , 이재화 ","대학교재>수학/과학/공학"
"22,000원","창의적 공학설계(개정판)","김은경 ","대학교재>수학/과학/공학"
"23,000원","창의와 혁신의 시크릿, 트리즈 : Training How To Think Inventively","김은경 ","대학교재>수학/과학/공학"
"27,000원","MATLAB으로 배우는 선형대수학 : Linear Algebra with MATLAB","이광연 , 설한국 ","대학교재>수학/과학/공학"
"24,000원","창의융합 프로젝트 아이디어북 : Creative Convergence Capstone Design with PBL","조준동 ","대학교재>수학/과학/공학"
"22,000원","전공이 보이는 미분적분학: FOR ELECTRICAL & ELECTRONIC ENGINEERS","장윤석 ","대학교재>수학/과학/공학"
"25,000원","IT CookBook, 공업수학 : 기본 개념부터 응용까지","이준탁 ","대학교재>수학/과학/공학"
"20,000원","공학 핵심수학 : Core Mathematics for Engineering","함남우 ","대학교재>수학/과학/공학"
"26,000원","이자론 중심으로 배우는 금융수학 : 보험계리사 시험 대비","이재원 ","대학교재>수학/과학/공학"
"26,000원","제대로 배우는 MATLAB","방성완 ","대학교재>수학/과학/공학"
"23,000원","이공계생을 위한 확률과 통계 : Forward-Looking Probability and Statistics","안승철 ","대학교재>수학/과학/공학"
"18,000원","공학 기초수학 : Basic Mathematics for Engineering","함남우 ","대학교재>수학/과학/공학"
"22,000원","실전으로 배우는 발명·특허","윤상원 ","대학교재>수학/과학/공학"
"20,000원","설계 프로세스로 배우는 창의적 공학설계","노승환 ","대학교재>수학/과학/공학"
"22,000원","기초수학 : Basic Mathematics","이재원 , 박성욱 ","대학교재>수학/과학/공학"
"24,000원","제대로 알고 쓰는 논문 통계분석 : SPSS & AMOS 21","노경섭 ","대학교재>수학/과학/공학"
"28,000원","MATLAB으로 배우는 공학수학 : Engineering Mathematics","소상균 ","대학교재>수학/과학/공학"
"20,000원","기초 미분적분학 : Pre Calculus","함남우 ","대학교재>수학/과학/공학"
"23,000원","IT CookBook, MATLAB으로 배우는 공학 수치해석","방성완 ","대학교재>수학/과학/공학"
"25,000원","기초 선형대수학 : BASIC LINEAR ALGEBRA","이광연 , 설한국 , 김진수 ","대학교재>수학/과학/공학"
"26,000원","대학수학 Plus : University Mathematics","이재원 ","대학교재>수학/과학/공학"
"18,000원","기초 확률과 통계 : BASIC PROBABILITY & STATISTICS","박대수 ","대학교재>수학/과학/공학"
"22,000원","IT CookBook, 이산수학 : 수학으로 이해하는 디지털 논리","박주미 ","대학교재>수학/과학/공학"
"24,000원","수식이 보이는 공학수학 : Engineering Mathematics","장윤석 ","대학교재>수학/과학/공학"
"20,000원","진로개발과 직업세계 : 대학생과 청년층을 위한 진로, 취업지침서","서일수 , 김도균 , 김지혜 , 이정배 ","대학교재>수학/과학/공학"
"18,000원","문제해결력을 키우는 이공계 글쓰기 : 발표와 토론까지","한성우 ","대학교재>수학/과학/공학"
"36,000원","Essential Calculus","James Stewart ","대학교재>수학/과학/공학"
"30,000원","생각하며 배우는 대학물리학","이기영 ","대학교재>수학/과학/공학"
"27,000원","IT CookBook, 텐서플로로 배우는 딥러닝","박혜정 , 석경하 , 심주용 , 황창하 ","대학교재>프로그래밍/웹"
"22,000원","SWedu, 스크래치 3.0 : 컴퓨팅 사고력을 키우는 블록 코딩","고광일 ","대학교재>프로그래밍/웹"
"25,000원","IT CookBook, PHP 프로그래밍 입문(3판)","황재호 ","대학교재>프로그래밍/웹"
"29,000원","IT CookBook, Android Studio를 활용한 안드로이드 프로그래밍(4판)","우재남 , 박길식 ","대학교재>프로그래밍/웹"
"25,000원","IT CookBook, 데이터 과학을 위한 파이썬 프로그래밍","최성철 ","대학교재>프로그래밍/웹"
"24,000원","IT CookBook, 모바일 & 데스크톱을 위한 웹 기획 프로세스","강은정 ","대학교재>프로그래밍/웹"
"26,000원","IT CookBook, 자바 프로그래밍 for Beginner","우재남 ","대학교재>프로그래밍/웹"
"27,000원","IT CookBook, 쉽게 배우는 JSP 웹 프로그래밍","송미영 ","대학교재>프로그래밍/웹"
"28,000원","IT CookBook, 모바일 UI/UX 디자인 실무","이영주 ","대학교재>프로그래밍/웹"
"22,000원","SWedu, 엔트리파이선","정영식 , 홍은미 , 김슬기 , 김성훈 ","대학교재>프로그래밍/웹"
"23,000원","IT CookBook, C 언어 for Beginner(개정3판)","우재남 ","대학교재>프로그래밍/웹"
"23,000원","IT CookBook, R로 배우는 딥러닝","박혜정 , 석경하 , 심주용 , 황창하 ","대학교재>프로그래밍/웹"
"24,000원","SWedu, 앱 인벤터","이종원 ","대학교재>프로그래밍/웹"
"25,000원","IT CookBook, 웹 디자인 이론과 실습","강은정 ","대학교재>프로그래밍/웹"
"23,000원","IT CookBook, HTML & CSS for Beginner","황재호 ","대학교재>프로그래밍/웹"
"29,000원","IT CookBook, 자바 프로그래밍 바이블","오경주 , 염기호 , 정용훈 ","대학교재>프로그래밍/웹"
"9,000원","스크래치를 활용한 문제해결능력 향상","김종훈 ","대학교재>프로그래밍/웹"
"26,000원","IT CookBook, GOOD JAVA : 프로그래밍을 시작하는 사람들을 위한","우재남 ","대학교재>프로그래밍/웹"
"22,000원","대학생을 위한 파이썬 프로그래밍 : 누구나 할 수 있는 가장 쉬운 프로그래밍 입문서","크리스 로피 ","대학교재>프로그래밍/웹"
"18,000원","대학생을 위한 스크래치 프로그래밍 : 누구나 할 수 있는 가장 쉬운 프로그래밍 입문서","김종훈 ","대학교재>프로그래밍/웹"
"29,000원","IT CookBook, Android Studio를 활용한 안드로이드 프로그래밍(증보판)","우재남 , 박길식 ","대학교재>프로그래밍/웹"
"25,000원","IT CookBook, C# 프로그래밍 : 프로그래밍 기초부터 객체 지향 핵심까지","윤인성 ","대학교재>프로그래밍/웹"
"25,000원","IT CookBook, JUST JAVA : 객체지향에 충실한 자바다운 자바","황희정 ","대학교재>프로그래밍/웹"
"24,000원","앱 인벤터 2 : 구글과 MIT 앱 인벤터 개발팀이 안내하는 안드로이드 프로그래밍","David Wolber , Hal Abelson , Ellen Spertus , Liz Looney ","대학교재>프로그래밍/웹"
"26,000원","IT CookBook, 핵심 API로 배우는 윈도우 프로그래밍","강경우 ","대학교재>프로그래밍/웹"
"27,000원","IT CookBook, XML 프로그래밍 : 체계적으로 배우는 XML 원리와 응용","홍성용 ","대학교재>프로그래밍/웹"
"24,000원","IT CookBook, 비주얼 베이직 2010 for Beginner","임관철 ","대학교재>프로그래밍/웹"
"29,000원","IT CookBook, Eclipse를 활용한 안드로이드 프로그래밍","우재남 , 이복기 ","대학교재>프로그래밍/웹"
"24,000원","IT CookBook, Compact C 프로그래밍","김충석 ","대학교재>프로그래밍/웹"
"20,000원","IT CookBook, 비주얼 베이직 for Beginner","임관철 ","대학교재>프로그래밍/웹"
"22,000원","IT CookBook, C언어 for Beginner(개정판)","우재남 ","대학교재>프로그래밍/웹"
"23,000원","말하고 듣고 대화하는 Physical Computing 아두이노","Todd Holoubek(백토담) ","대학교재>프로그래밍/웹"
"22,000원","IT CookBook, C++ 프로그래밍 기초 : 객체지향의 시작","성윤정 , 김태은 ","대학교재>프로그래밍/웹"
"22,000원","IT CookBook, 인터넷 이해와 활용 : 인터넷 기초부터 홈페이지 제작까지(개정2판)","안치현 , 김형철 ","대학교재>프로그래밍/웹"
"28,000원","IT CookBook, ASP.NET 4.0 프로그래밍","김동아 ","대학교재>프로그래밍/웹"
"22,000원","IT CookBook, 인터넷 프로그래밍 입문 : HTML, CSS, JavaScript","주성례 , 정선호 , 한민형 , 권원상 ","대학교재>프로그래밍/웹"
"18,000원","IT CookBook, C로 시작하는 컴퓨터 프로그래밍(개정판)","문호석 , 손명호 ","대학교재>프로그래밍/웹"
"25,000원","IT CookBook, New 인터넷 이해와 활용","김경신 ","대학교재>프로그래밍/웹"
"26,000원","IT CookBook, 프로젝트로 배우는 자바 웹 프로그래밍","황희정 ","대학교재>프로그래밍/웹"
"28,000원","IT CookBook, 윈도우 프로그래밍 : Visual C++ 2010 MFC Programming","김선우 , 신화선 ","대학교재>프로그래밍/웹"
"22,000원","IT CookBook, 윈도우 API 프로그래밍","강경우 ","대학교재>프로그래밍/웹"
"23,000원","IT CookBook, 웹 기획 기초와 설계(개정판) : 웹 사이트, 인터페이스, 디자인","강은정 ","대학교재>프로그래밍/웹"
"38,000원","IT CookBook, OpenGL로 배우는 3차원 컴퓨터 그래픽스","주우석 ","대학교재>프로그래밍/웹"
"20,000원","IT CookBook for Beginner, C++ 기초","신호철 , 조인현 ","대학교재>프로그래밍/웹"
"25,000원","IT CookBook, TCP/IP 윈도우 소켓 프로그래밍","김선우 ","대학교재>프로그래밍/웹"
"25,000원","IT CookBook, HTML5 웹 프로그래밍 입문","윤인성 ","대학교재>프로그래밍/웹"
"25,000원","IT CookBook, C++ 하이킹 : 객체지향과 만나는 여행","성윤정 , 김태은 ","대학교재>프로그래밍/웹"
"25,000원","IT CookBook, PHP 프로그래밍 입문(개정판)","황재호 ","대학교재>프로그래밍/웹"
"24,000원","IT CookBook, C 프로그래밍","강동진, 하숙정, 임수연, 송무희, 박보석 ","대학교재>프로그래밍/웹"
"23,000원","IT CookBook, 웹 프로그래밍 입문 : XHTML, CSS2, JavaScript","김형철 , 안치현 ","대학교재>프로그래밍/웹"
"22,500원","IT CookBook, 윈도우 프로그래밍: Visual C++ MFC Programming(개정판)","김선우 , 신화선 ","대학교재>프로그래밍/웹"
"8,000원","IT CookBook, 초보자의 첫 번째 컴퓨터와 인터넷 활용","최희식 ","대학교재>프로그래밍/웹"
"8,000원","IT CookBook, 초보자의 첫 번째 나모 웹에디터 2008","최희식 ","대학교재>프로그래밍/웹"
"20,000원","IT CookBook, PHP 프로그래밍 for Beginner","박대혁 , 강의선 ","대학교재>프로그래밍/웹"
"22,000원","IT CookBook, 자바 프로그래밍 기초 : 원리부터 응용까지","고응남 ","대학교재>프로그래밍/웹"
"20,000원","HTML과 나모로 홈페이지 만들기 디자인 스쿨","김형철 , 안치현 ","대학교재>프로그래밍/웹"
"20,000원","IT CookBook for Beginner, 인터넷 프로그래밍 기초","고민정 ","대학교재>프로그래밍/웹"
"20,000원","IT CookBook, 비주얼 베이직 프로그래밍 : 윈도우 프로그래밍의 첫 걸음","고응남 ","대학교재>프로그래밍/웹"
"22,000원","IT CookBook, design school 포토샵 CC 2019","이영주 ","대학교재>그래픽/디자인"
"25,000원","IT CookBook, design school 프리미어 프로 CC","강재신 ","대학교재>그래픽/디자인"
"23,000원","IT CookBook, design school 일러스트레이터 CC","이영주 ","대학교재>그래픽/디자인"
"22,000원","IT CookBook, 포토샵 CC 2017","이영주 ","대학교재>그래픽/디자인"
"27,000원","IT CookBook, UI/UX 디자인 이론과 실습","이영주 ","대학교재>그래픽/디자인"
"22,000원","IT CookBook, Play 포토샵","원다예 ","대학교재>그래픽/디자인"
"26,000원","IT CookBook, enjoy design 일러스트레이터 CS6","김경진 , 김부치 ","대학교재>그래픽/디자인"
"25,000원","IT CookBook, enjoy design 플래시 CS6","한형만 ","대학교재>그래픽/디자인"
"25,000원","IT CookBook, enjoy design 포토샵 CS6","이영주 ","대학교재>그래픽/디자인"
"19,000원","IT CookBook, 파워포인트 2016","김지연 ","대학교재>OA/활용"
"19,000원","IT CookBook, 엑셀 2016","김지연 ","대학교재>OA/활용"
"14,000원","MOS 2016 아웃룩","김경희 , 오해강 ","대학교재>OA/활용"
"22,000원","IT CookBook , 엑셀과 파워포인트 2016","김지연 ","대학교재>OA/활용"
"14,000원","MOS 2016 워드 Expert","김경희 , 오해강 ","대학교재>OA/활용"
"14,000원","MOS 2016 파워포인트","김경희 , 오해강 ","대학교재>OA/활용"
"14,000원","MOS 2016 엑셀 Expert","김경희 , 오해강 ","대학교재>OA/활용"
"24,000원","IT CookBook, 비주얼 베이직 2015 for Beginner","임관철 ","대학교재>OA/활용"
"15,000원","ITQ 엑셀 2010","장수진, 유우종, 임관철 , 김경희 ","대학교재>OA/활용"
"15,000원","ITQ 파워포인트 2010","장수진, 유우종, 임관철 , 김경희 ","대학교재>OA/활용"
"15,000원","ITQ 한글 2010","장수진, 유우종, 임관철 , 김경희 ","대학교재>OA/활용"
"15,000원","한 권으로 합격하는 MOS 2010 엑셀과 파워포인트","김경희 , 오해강 ","대학교재>OA/활용"
"22,000원","IT CookBook, 엑셀과 파워포인트 2013 개정판","강동진 외 4 ","대학교재>OA/활용"
"20,000원","IT CookBook, 엑셀 2013 : 기본 기능부터 실무 활용까지","하숙정 ","대학교재>OA/활용"
"22,000원","IT CookBook, 컴퓨터 활용과 실습 : 컴퓨터 기초, 한글 2014, 엑셀 2013, 파워포인트 2013","김주영 ","대학교재>OA/활용"
"20,000원","IT CookBook, 파워포인트 2013 : 기본 기능부터 프레젠테이션 스킬까지 한번에!","채종서 , 차유빈 ","대학교재>OA/활용"
"10,000원","IT CookBook, 한글 2014 for Beginner","양숙희 ","대학교재>OA/활용"
"22,000원","한 권으로 합격하는 MOS 2010 Master","김경희 , 오해강 ","대학교재>OA/활용"
"10,000원","IT CookBook, 엑셀 2013 for Beginner","양숙희 ","대학교재>OA/활용"
"10,000원","IT CookBook, 파워포인트 2013 for Beginner","최희식 ","대학교재>OA/활용"
"10,000원","IT CookBook, 워드 2013 for Beginner","최희식 ","대학교재>OA/활용"
"10,000원","IT CookBook, 초보자의 첫 번째 한글 2010","양숙희 ","대학교재>OA/활용"
"19,000원","IT CookBook, 엑셀 2010 실무와 활용","전미진 ","대학교재>OA/활용"
"19,000원","IT CookBook, 파워포인트 2010 실무와 활용","고경희 ","대학교재>OA/활용"
"21,000원","IT CookBook, 엑셀과 파워포인트 2010 실무와 활용","전미진 , 고경희 ","대학교재>OA/활용"
"8,000원","IT CookBook, 초보자의 첫 번째 엑셀 2007","양숙희 ","대학교재>OA/활용"
"10,000원","IT CookBook, 초보자의 첫 번째 워드 2010","최희식 ","대학교재>OA/활용"
"18,000원","IT CookBook, 파워포인트 2007 실무와 활용","고경희 ","대학교재>OA/활용"
"18,000원","IT CookBook, 엑셀 2007 실무와 활용","한은숙 ","대학교재>OA/활용"
"14,000원","MOS Access 2007","이지윤 ","대학교재>OA/활용"
"13,000원","MOS Excel 2007 Expert","이지윤 , 김선희 ","대학교재>OA/활용"
"13,000원","MOS PowerPoint 2007","이지윤 , 김선희 ","대학교재>OA/활용"
"13,000원","MOS Word 2007 Expert","이지윤 , 김주경 ","대학교재>OA/활용"
"10,000원","IT CookBook, 초보자의 첫 번째 파워포인트 2010","최희식 ","대학교재>OA/활용"
"21,000원","IT CookBook, 컴퓨터 활용 : 윈도우 7, 한글 2010, 엑셀 2010, 파워포인트 2010","김주영 , 정영준 ","대학교재>OA/활용"
"20,000원","IT CookBook, 엑셀과 파워포인트 2007 실무와 활용","한은숙 , 고경희 ","대학교재>OA/활용"
"10,000원","IT CookBook, 초보자의 첫 번째 엑셀 2010","양숙희 ","대학교재>OA/활용"
"8,000원","IT CookBook, 초보자의 첫 번째 워드 2007","최희식 ","대학교재>OA/활용"
"8,000원","IT CookBook, 초보자의 첫 번째 한글 2007","양숙희 ","대학교재>OA/활용"
"28,000원","IT CookBook, 따라 하면서 배우는 마이크로컨트롤러","허경용 ","대학교재>컴퓨터공학"
"27,000원","IT CookBook, 데이터베이스 개론(2판)","김연희 ","대학교재>컴퓨터공학"
"24,000원","IT CookBook, 데이터베이스 for Beginner","우재남 ","대학교재>컴퓨터공학"
"27,000원","IT CookBook, 시스템 해킹과 보안(3판)","양대일 ","대학교재>컴퓨터공학"
"28,000원","IT CookBook, 쉽게 배우는 운영체제","조성호 ","대학교재>컴퓨터공학"
"23,000원","한번에 통과하는 논문 : SPSS 결과표 작성과 해석 방법","히든그레이스 논문통계팀 ","대학교재>컴퓨터공학"
"26,000원","IT CookBook, C++ 트레이닝","김상형 ","대학교재>컴퓨터공학"
"29,000원","4차 산업혁명 시대의 기업 혁신을 위한 비즈니스 프로세스","정승렬 , 이정규 ","대학교재>컴퓨터공학"
"31,000원","IT CookBook, 우분투 리눅스(개정판)","이종원 ","대학교재>컴퓨터공학"
"29,000원","IT CookBook, Android Studio를 활용한 안드로이드 프로그래밍(개정3판)","우재남 , 박길식 ","대학교재>컴퓨터공학"
"22,000원","IT CookBook, 소프트웨어 세상을 여는 컴퓨터 과학","김종훈 ","대학교재>컴퓨터공학"
"27,000원","IT CookBook, 쉽게 배우는 알고리즘(개정판)","문병로 ","대학교재>컴퓨터공학"
"28,000원","IT CookBook, 정보 보안 개론 개정3판","양대일 ","대학교재>컴퓨터공학"
"28,000원","IT CookBook, 기본 개념과 핵심 원리로 배우는 C++ 프로그래밍","김화수 ","대학교재>컴퓨터공학"
"21,000원","SWedu, 파이선으로 쉽게 배우는 프로그래밍 입문","조인석 ","대학교재>컴퓨터공학"
"35,000원","IT CookBook, 단계별로 배우는 안드로이드 프로그래밍","김선우 ","대학교재>컴퓨터공학"
"32,000원","기계 학습","오일석 ","대학교재>컴퓨터공학"
"25,000원","IT CookBook, C 언어 트레이닝","김상형 ","대학교재>컴퓨터공학"
"23,000원","IT CookBook,  파이썬 for Beginner","우재남 ","대학교재>컴퓨터공학"
"28,000원","IT CookBook, 디지털 영상처리","심동규 , 임웅 ","대학교재>컴퓨터공학"
"19,000원","code.org를 활용한 컴퓨팅 사고력과 코딩 교육","제인 크라우스 , 키키 프롯츠만 ","대학교재>컴퓨터공학"
"29,000원","IT CookBook, 페도라 리눅스(개정판)","이종원 ","대학교재>컴퓨터공학"
"19,000원","SWedu, 비트브릭","김경하 , 박승미 , 최선경 , 이민아 , 김진선 , 강병수 , 이신영 ","대학교재>컴퓨터공학"
"28,000원","4차 산업혁명 시대의 경영정보시스템","이동훈 ","대학교재>컴퓨터공학"
"27,000원","IT CookBook, 쉽게 배우는 자바 프로그래밍","우종정 ","대학교재>컴퓨터공학"
"26,000원","IT CookBook, 차세대 웹 프로그래밍","홍성용 ","대학교재>컴퓨터공학"
"25,000원","IT CookBook, 유닉스 시스템 프로그래밍","이종원 ","대학교재>컴퓨터공학"
"25,000원","IT CookBook, 인터넷 해킹과 보안 개정3판","김경곤 ","대학교재>컴퓨터공학"
"27,000원","IT CookBook, MFC 윈도우 프로그래밍","강경우 ","대학교재>컴퓨터공학"
"20,000원","IT CookBook, C로 시작하는 컴퓨터 프로그래밍 개정3판","문호석 , 손명호 ","대학교재>컴퓨터공학"
"29,000원","객체지향 소프트웨어 공학","최은만 ","대학교재>컴퓨터공학"
"29,000원","IT CookBook, Android Studio를 활용한 안드로이드 프로그래밍(개정판)","우재남 , 박길식 ","대학교재>컴퓨터공학"
"26,000원","데이터 아이코놀로지","박진완 ","대학교재>컴퓨터공학"
"22,000원","IT CookBook, 임베디드 리눅스 기초와 응용","우종정 , 사공준 ","대학교재>컴퓨터공학"
"25,000원","IT CookBook, 디지털 시스템 설계 및 실습 with VHDL & Verilog HDL","노승환 ","대학교재>컴퓨터공학"
"20,000원","SWedu, 컴퓨팅 사고력을 키우는 SW 교육 : 피지컬 컴퓨팅(엔트리 & 코드이노)","이민석 , 코더블 ","대학교재>컴퓨터공학"
"26,000원","IT CookBook, 네트워크 해킹과 보안 개정3판 : 정보 보안 개론과 실습","양대일 ","대학교재>컴퓨터공학"
"26,000원","IT CookBook, HTML5 웹 프로그래밍 입문(개정판)","윤인성 ","대학교재>컴퓨터공학"
"27,000원","IT CookBook, 쉽게 배우는 데이터 통신과 컴퓨터 네트워크 (개정판)","박기현 ","대학교재>컴퓨터공학"
"20,000원","SWedu, 컴퓨팅 사고력을 키우는 SW 교육 : 스크래치","고광일 ","대학교재>컴퓨터공학"
"20,000원","SWedu, 컴퓨팅 사고력을 키우는 SW 교육 : 엔트리 & 햄스터","황준 , 박광현 , 이웅재 , 최은정 , 고혜영 , 이재호 , 손예진 , 조민주 ","대학교재>컴퓨터공학"
"22,000원","IT CookBook, 인터넷 윤리","최희식 , 김상균 ","대학교재>컴퓨터공학"
